DTEEMPDN,DTHTNRNT,DTPPOPDN,DTRESDN,OTEEMPDN,OTHTNRNT,OTPPOPDN,OTRESDN,CENSUS_D,URBRUR,NEEDS_SCHOOL_BUS,"HHFAMINC_Less than $10,000","HHFAMINC_$10,000 to $14,999","HHFAMINC_$15,000 to $24,999","HHFAMINC_$25,000 to $34,999","HHFAMINC_$35,000 to $49,999","HHFAMINC_$50,000 to $74,999","HHFAMINC_$75,000 to $99,999","HHFAMINC_$100,000 to $124,999","HHFAMINC_$125,000 to $149,999","HHFAMINC_$150,000 to $199,999","HHFAMINC_$200,000 or more",HH_RACE_White,HH_RACE_Black or African American,HH_RACE_Asian,HH_RACE_American Indian or Alaska Native,HH_RACE_Native Hawaiian or other Pacific Islander,"MSASIZE_In an MSA of Less than 250,000","MSASIZE_In an MSA of 250,000 - 499,999","MSASIZE_In an MSA of 500,000 - 999,999","MSASIZE_In an MSA or CMSA of 1,000,000 - 2,999,999",MSASIZE_In an MSA or CMSA of 3 million or more,MSASIZE_Not in MSA or CMSA,HHFAMINC_No data,HH_RACE_Other,HH_RACE_No data,HH_HISP_No data,HH_HISP,LOG_DIST
350,20,750,300,350,20,750,300,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.5295285292057985
150,30,300,300,150,20,300,300,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.2149553430330715
25,5,50,50,25,5,50,50,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.287578388180733
25,5,50,50,25,5,50,50,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.287578388180733
150,30,300,300,150,30,300,300,7,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7565913531164801
150,30,300,300,150,30,300,300,7,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9419584786227329
1500,30,3000,750,750,40,3000,750,9,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.7085282825982476
1500,30,3000,750,750,40,3000,750,9,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.7085282825982476
1500,30,3000,750,750,40,3000,750,9,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.287578388180733
1500,30,3000,750,750,40,3000,750,9,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.7085282825982476
